Description,FOOD
Chapati a whole grain flatbread offers fiber for digestive health essential vitamins and minerals and is a good source of complex carbohydrates for sustained energy,Chapati
Roti a whole grain flatbread is a good source of fiber protein and essential vitamins and minerals providing energy and supporting digestive health,Roti
Garlic Herb Chapati offers a blend of flavors provides essential nutrients like fiber antioxidants vitamins and minerals and may support heart and digestive health,Garlic Herb Chapati
Garlic Herb Roti A fragrant flatbread enriched with the goodness of garlic and herbs providing a delicious and nutritious addition to your meals,Garlic Herb Roti
Rumali Roti is a healthy whole wheat flatbread rich in fiber iron and essential vitamins aiding digestion and providing sustained energy,Rumali Roti
Masala Chapati a flavorful Indian flatbread provides dietary fiber essential nutrients and a rich source of carbohydrates for energy,Masala Chapati
Masala roti a fiberrich flatbread provides essential nutrients like iron magnesium and B vitamins promoting digestive health and overall wellbeing,Masala Roti
Missi Roti is a rich source of protein fiber iron and calcium promoting satiety healthy digestion and strong bones,Missi Roti
Chicken Korma Naan offers a delightful blend of protein from chicken and complex carbohydrates from naan while providing essential vitamins minerals and fiber,Chicken Korma Naan
Garlic Coriander Naan A delightful flatbread packed with antioxidants fiber and essential vitamins offering a flavorful and nutritious addition to your meals,Garlic Coriander Naan
Kuloha Naan A delectable whole wheat flatbread rich in fiber and essential nutrients providing a wholesome and satisfying meal option,Kuloha Naan
Masala Naan is rich in carbohydrates providing energy and contains fiber aiding digestion It offers minerals like iron magnesium and potassium supporting overall health,Masala Naan
Onion Naan A delicious flatbread enriched with the goodness of onions offering dietary fiber antioxidants and essential minerals like potassium and magnesium,Onion Naan
Peshwari Naan is a soft mildly sweet flatbread filled with a mixture of dried fruits and nuts providing a good source of fiber healthy fats and essential vitamins and minerals,Peshwari Naan
Rich in carbohydrates provides energy contains fiber for gut health and offers a source of vitamins and minerals,Roghani Naan
Spicy Tomato Naan provides carbohydrates for energy fiber for digestion lycopene and vitamin C from tomatoes for antioxidant protection and capsaicin from chili peppers for potential antiinflammatory benefits,Spicy Tomato Naan
Butter Naan is a rich source of carbohydrates providing energy and dietary fiber for a balanced diet,Butter Naan
Tandoori naan is a traditional Indian flatbread made from refined flour yogurt and yeast offering carbohydrates dietary fiber and trace amounts of protein calcium iron and B vitamins,Tandoon Naan
Aloo Paratha a popular Indian flatbread stuffed with spiced potatoes offers a good source of carbohydrates dietary fiber and essential vitamins and minerals,Aloo Paratha
Lachcha Paratha offers a good source of carbohydrates fiber and protein providing energy promoting digestion and supporting muscle health,Lachcha Paratha
Vegetable Paratha Rich in fiber vitamins and minerals aids digestion boosts immunity and provides sustained energy,Vegetable Paratha
Onion Paratha Rich in fiber vitamins and minerals promoting digestive health heart health and immunity,Onion Paratha
Plain paratha provides energy dietary fiber protein essential vitamins and minerals helping maintain a balanced diet,Plain Paratha
Chicken Tikka Masala provides a proteinrich and flavorful meal offering calcium iron and vitamins A C and D while being low in calories and saturated fat,Chicken Tikka Masala
Potato Brinjal Curry is an excellent source of dietary fiber vitamins minerals and antioxidants promoting digestive health reducing cholesterol levels and boosting immunity,Potato Brinjal Curry
Potato Beans Curry A traditional Indian dish rich in fiber protein and iron providing essential nutrients for a balanced diet,Potato Beans Curry
Aloo Curry A flavorful and nutritious dish rich in carbohydrates dietary fiber vitamins and minerals supporting heart health digestion and overall wellbeing,Aloo Curry
 Rich in dietary fiber vitamins B C K minerals potassium folate manganese antioxidants low in calories and carbs,Mashed Eggplant
Low in calories and carbs rich in vitamins minerals and antioxidants may aid digestion lower cholesterol and regulate blood sugar,Ladys Finger
High in protein fiber and vitamins chickpeas aid weight management digestion and blood sugar control,Chick Peas
Methi Aloo Rich in antioxidants dietary fiber vitamin C and iron aids digestion supports heart health and provides essential nutrients,Methi Aloo
Mutter Paneer is a popular North Indian dish made with peas paneer and spices providing a good source of protein dietary fiber vitamins and minerals,Mutter Paneer
Pumpkin is low in calories and high in nutrients including vitamin A vitamin C potassium and fiber supporting eye health immunity and digestion,Pumpkin
Shahi Paneer provides calcium protein and healthy fats supporting bone health muscle function and overall wellbeing,Shahi Paneer
Shimla Mirchi Aloo provides essential vitamins minerals antioxidants and dietary fiber promoting healthy digestion reducing inflammation and boosting overall wellbeing,Shimla Mirchi Aloo
Stuffed tomatoes provide a healthy combination of vitamins minerals antioxidants and fiber promoting heart health improved digestion and overall wellbeing,Stuffed Tomato
Ridge gourd aids in weight loss improves digestion lowers cholesterol regulates blood pressure and is rich in folate vitamin C and potassium,Ridge Gourd
Vegetable Kofta Curry is rich in vitamins minerals and antioxidants and may help promote digestive health boost immunity and reduce the risk of chronic diseases,Vegetable Kofta Curry
Vegetable korma A delicious and nutritious dish rich in vitamins minerals and antioxidants promoting heart and digestive health and supporting a balanced diet,Vegetable Korma
Pigeon peas offer a rich source of protein fiber folate and essential minerals supporting overall health and wellbeing,Pigeon Peas
High in protein and fiber split chickpeas aid digestion stabilize blood sugar and reduce cholesterol,Split Chick Peas
Dal Makhani is rich in protein fiber and iron making it a nutritious and filling meal,Dal Makhani
Moong dal is rich in protein fiber and essential vitamins and minerals making it beneficial for weight management digestion and heart health,Moong Dal
Masoor dal is rich in protein fiber folate magnesium and potassium helping reduce cholesterol manage blood sugar and promote heart and digestive health,Masoor Dal
Urad dal is rich in protein fiber and essential minerals like iron magnesium and potassium providing various health benefits such as improved digestion heart health and bone strength,Urad Dal
Sambar provides essential vitamins minerals and antioxidants aiding in digestion boosting immunity and promoting overall wellbeing,Sambar
White rice provides quick energy essential vitamins and minerals yet is low in fiber and nutrients compared to brown rice,White Rice
Pulao is rich in fiber and essential vitamins and minerals providing energy aiding digestion and promoting overall wellbeing,Pulao
Khichdi a traditional Indian dish offers a balanced combination of carbohydrates protein and essential vitamins and minerals promoting a healthy gut and providing sustained energy,Kichidi
Cows milk is rich in calcium protein and vitamin D promoting strong bones muscle growth and immune system health,Cow Milk
Buffalo milk is rich in protein calcium and vitamins A and D supporting strong bones teeth and immune system,Buffalo Milk
Curd is a good source of calcium protein and probiotics supporting bone health digestion and immunity,Curd
Buttermilk is a refreshing and nutritious beverage providing essential vitamins minerals and probiotics that support gut health bone strength and immune function,Butter Milk
Paneer is a good source of protein calcium and vitamins B and D promoting bone health muscle function and immunity,Paneer
Cheese Provides essential nutrients like calcium protein and vitamins aids in bone health and adds flavor and variety to meals,Cheese
Lassi a popular yogurtbased drink offers probiotics for gut health calcium for strong bones and potassium for regulating blood pressure,Lassi
Samosas provide energy carbohydrates protein and dietary fiber but are high in calories and fat,Samosa
Rich in antioxidants helps in digestion lowers cholesterol boosts immunity and aids in weight loss,Brinjal Pickle
Chilli pickle aids digestion boosts metabolism rich in vitamins A C and K and contains antioxidants,Chilli Pickle
Lime pickle aids digestion boosts immunity and is rich in vitamin C antioxidants and essential minerals,Lime Pickle
Mango pickle A tangy and spicy condiment rich in probiotics vitamin C and antioxidants aiding digestion and boosting immunity,Mango Pickle
Beetroot Low in calories rich in fiber folate manganese and potassium supports heart health digestion and immunity,Beetroot
Bell peppers rich in antioxidants and vitamins boost immunity lower inflammation and support heart and eye health,Bell Pepper
Black Olives Rich in antioxidants good fats and vitamins aiding heart health digestion and providing essential nutrients,Black Olives
Broccoli A cruciferous vegetable rich in vitamins C and K fiber antioxidants and antiinflammatory compounds supporting immune function bone health and cancer prevention,Broccoli
Brussels sprouts are packed with vitamins minerals and antioxidants offering benefits like improved digestion reduced inflammation and potential cancerfighting properties,Brussels Sprouts
Cabbage Low in calories high in vitamins C and K fiber antioxidants and antiinflammatory properties,Cabbage
Packed with betacarotene vitamin K and potassium carrots support eye health boost immunity and aid digestion,Carrot
Cauliflower offers an array of vitamins minerals and antioxidants promoting heart health digestion and brain function while being low in calories and carbs,Cauliflower
Celery Low in calories high in vitamins and minerals aids digestion reduces inflammation and supports heart health,Celery
Cherry tomatoes are rich in vitamins A C and K antioxidants and potassium supporting eye health boosting immunity reducing inflammation and maintaining healthy blood pressure,Cherry Tomato
Corn is a good source of carbohydrates fiber and vitamins like vitamin C B vitamins and minerals like magnesium phosphorus and potassium,Corn
Cucumber Low in calories and a good source of vitamins K C and potassium promoting hydration digestion and bone health,Cucumber
Garlic Lowers cholesterol and blood pressure boosts immunity and contains antioxidants and antimicrobial properties,Garlic
Green beans provide essential vitamins minerals and antioxidants supporting heart and digestive health and aiding in managing blood sugar,Green Beans
Green olives are a good source of healthy fats antioxidants and dietary fiber promoting heart health reducing inflammation and aiding digestion,Green Olives
Green onions are low in calories and high in vitamins A C and K as well as antioxidants and antiinflammatory compounds,Green Onion
Lettuce Lowcalorie high in vitamins A and K folate potassium and fiber aids digestion reduces inflammation and promotes healthy skin and vision,Lettuce
Mushrooms Low in calories high in fiber and antioxidants support immune system reduce inflammation and may help prevent cancer,Mushrooms
Onions Low in calories high in antioxidants and antiinflammatory compounds supporting heart and digestive health and may help control blood sugar,Onion
Peas provide dietary fiber protein vitamins A C and K folate manganese iron and antioxidants like lutein and zeaxanthin,Peas
 Potatoes are rich in vitamins minerals fiber and antioxidants providing energy supporting the immune system and promoting gut health,Potato
Pumpkin Low in calories rich in fiber vitamins A C and E and minerals like potassium and magnesium supporting eye health immunity and heart health,Pumpkin
Radishes provide antioxidants antiinflammatory properties support digestion and are low in calories and carbohydrates,Radishes
Red cabbage is a powerhouse of antioxidants and vitamins offering benefits like inflammation reduction improved heart health and immune system support,Red Cabbage
Spinach A nutrientdense leafy green loaded with vitamins minerals and antioxidants for better vision strong bones and reduced inflammation,Spinach
Rich in vitamins A C and B potassium manganese and dietary fiber sweet potatoes promote gut health boost immunity regulate blood sugar and have antioxidant and antiinflammatory properties,Sweet Potato
Rich in lycopene vitamins A C and K potassium and antioxidants helps reduce risk of heart disease cancer and macular degeneration,Tomato
Apple Low in calories high in fiber contains antioxidants may reduce the risk of cancer lowers cholesterol supports brain health and improves gut health,Apple
Avocados provide healthy fats fiber potassium vitamins C and K and folate supporting heart and digestive health and fetal development,Avocado
Bananas Rich in potassium dietary fiber vitamin B and antioxidants supporting heart health digestion and overall wellbeing,Banana
Rich in antioxidants fiber vitamin C and manganese blackberries help boost immunity improve digestion and support cognitive health,Blackberries
Blueberries Antioxidantrich packed with vitamins minerals and fiber supporting heart brain and immune health,Blueberries
Cherries Rich in antioxidants promote heart health aid sleep improve brain function and provide essential vitamins and minerals,Cherries
Custard apple is an excellent source of dietary fiber antioxidants and essential vitamins and minerals promoting digestive health immunity and overall wellbeing,Custard Apple
Rich in fiber potassium and antioxidants helps with digestion heart health and blood sugar control,Dates
Grapes Low in calories high in antioxidants and a good source of vitamins C and K,Grapes
Guava offers a rich source of vitamins A and C dietary fiber potassium and antioxidants contributing to improved digestion immunity and overall wellbeing,Guava
Jackfruit is a lowcalorie fruit rich in fiber antioxidants vitamins and minerals promoting digestive health immunity and skin health,Jackfruit
Jujube offers various health benefits like improved digestion immunity boost and antioxidant protection it contains essential vitamins minerals and fiber,Jujube
Kiwi fruit a great source of vitamin C dietary fiber and antioxidants promoting immunity digestive health and heart health,Kiwi
Boosts immunity aids digestion lowers cholesterol and is a rich source of vitamin C and antioxidants,Lemon
Mango Rich in antioxidants vitamins and minerals it supports digestion boosts immunity and promotes healthy skin and vision,Mango
Oranges Low in calories rich in vitamin C potassium fiber folate thiamin and antioxidants like flavonoids and carotenoids supporting immunity heart health and skin health,Orange
Papaya Rich in antioxidants aids digestion boosts immunity and provides essential vitamins and minerals like vitamin A C and potassium,Papaya
Peaches offer vitamins A and C potassium fiber and antioxidants for improved vision immunity digestion and healthy skin,Peach
High in fiber and vitamin C pears may help lower cholesterol improve digestion and boost immunity,Pear
Onions Low in calories and high in fiber onions provide essential vitamins minerals and antioxidants that support heart health blood sugar control and immunity,Onion
Dal is a rich source of protein fiber vitamins and minerals providing essential nutrients for a healthy diet,Dal
Aloo Gobi is rich in vitamins A and C dietary fiber and potassium supporting eye health immunity digestion and blood pressure regulation,Aloo Gobi
Aromatic and flavorful dish rich in protein vitamins minerals and antioxidants providing a balanced meal with moderate calorie and fat content,Chicken Biryani
Mutton Biryani offers a rich source of protein iron and essential vitamins promoting muscle health energy production and a robust immune system,Mutton Biryani
Egg Biryani is a rich source of protein and healthy fats providing essential nutrients energy and aiding weight management,Egg Biryani
Prawns Biryani A delectable dish rich in protein omega fatty acids and essential vitamins and minerals,Prawns Biryani
Vegetable Biryani offers a delightful blend of flavors rich in fiber vitamins minerals and antioxidants promoting a balanced diet and overall wellbeing,Vegetable Biryani
Boiled egg Convenient portable protein source with highquality protein essential vitamins and minerals for muscle building immune support and overall wellbeing,Boiled Egg
Palak Paneer is rich in iron calcium and vitamins A C and K promoting strong bones healthy eyesight and a boosted immune system,Palak Paneer
Mint chutney offers a refreshing burst of flavor aids digestion provides essential vitamins and has antibacterial properties,Mint Chutney
Coconut chutney is a rich source of healthy fats dietary fiber vitamins and minerals offering various health benefits like improved digestion heart health and immunity,Coconut Chutney
Egg noodles are a good source of energy protein and dietary fiber also containing important vitamins and minerals like iron magnesium and B vitamins,Egg Noodles
Veg noodles provide a lowcalorie highfiber meal with essential vitamins and minerals promoting gut health and a feeling of fullness,Veg Noodles
Manchurian is rich in protein and essential nutrients providing energy promoting muscle growth and supporting a healthy immune system,Manchurian
Fried rice provides energy carbohydrates and some essential vitamins and minerals but it can be high in calories and sodium if not prepared healthily,Fried Rice
Chicken fried rice provides energy protein carbohydrates vitamins and minerals but high sodium and fat content may outweigh the benefits,Chicken Fried Rice
Chicken noodles provide essential nutrients including protein carbohydrates and vitamins promoting energy muscle repair and overall wellbeing,Chicken Noodles
Egg fried rice provides essential nutrients like protein carbohydrates and healthy fats along with vitamins minerals and antioxidants,Egg Fried Rice
Pani Puri has no significant nutritional value and should be consumed occasionally as a recreational snack,Pani Puri
Chaat offers a mix of flavors textures and nutrients including fiber vitamins and minerals but it can be high in calories and sodium,Chaat
Occasional consumption can provide energy carbohydrates fats and micronutrients but excessive intake may lead to weight gain and health issues,Cake
Punugulu is a steamed cake made from rice flour lentils and spices providing carbohydrates proteins dietary fiber iron and calcium,Punugulu
Dosa a South Indian staple offers a lowcalorie highprotein and fiberrich option promoting gut health and providing essential vitamins and minerals,Dosa
Egg Dosa Rich in protein and calcium provides essential nutrients aids muscle growth and promotes healthy bones,Egg Dosa
Idli is a lowcalorie highfiber food that is a good source of carbohydrates protein and vitamins B and C,Idly
Mirchi Bajji a popular Indian snack offers vitamin C antioxidants and a boost in metabolism while being low in calories,Mirchi Bajji
Vada a popular South Indian snack provides energy carbohydrates and dietary fiber making it a good source of sustained energy and aiding digestion,Vada Recipe
Aloo Bajji a popular Indian snack provides energy carbohydrates and dietary fiber along with essential vitamins and minerals like vitamin C potassium and iron,Aloo Bajji
Butter Rich in vitamins A D and E contains conjugated linoleic acid CLA a potential cancerfighting nutrient good source of healthy fats and energy,Butter
Puri provides complex carbohydrates for energy fiber for digestion and essential vitamins and minerals for overall health,Puri
